SA, Life expectancy at birth (period, 1x5)	Last modified: 23 May 2023;  Methods Protocol: v6 (2017)

  Year       Female    Male     Total
1971-1974     76.64    69.38    72.90
1975-1979     77.89    70.86    74.31
1980-1984     79.49    72.36    75.87
1985-1989     79.87    73.51    76.67
1990-1994     80.72    74.76    77.74
1995-1999     81.87    76.07    78.99
2000-2004     82.71    77.44    80.10
2005-2009     83.63    78.78    81.24
2010-2014     84.17    80.07    82.15
2015-2019     84.81    80.66    82.75
