PopCode,Area,Year,YearReg,YearInterval,Sex,Age,AgeInterval,Lexis,RefCode,Access,Deaths,NoteCode1,NoteCode2,NoteCode3,LDB
NSW,2,1971,1971,1,f,TOT,.,RR,1,O,19133,.,.,.,1
NSW,2,1971,1971,1,f,0,1,RR,1,O,738,.,.,.,1
NSW,2,1971,1971,1,f,1,1,RR,1,O,51,.,.,.,1
NSW,2,1971,1971,1,f,2,1,RR,1,O,24,.,.,.,1
NSW,2,1971,1971,1,f,3,1,RR,1,O,18,.,.,.,1
NSW,2,1971,1971,1,f,4,1,RR,1,O,22,.,.,.,1
NSW,2,1971,1971,1,f,5,1,RR,1,O,16,.,.,.,1
NSW,2,1971,1971,1,f,6,1,RR,1,O,15,.,.,.,1
NSW,2,1971,1971,1,f,7,1,RR,1,O,13,.,.,.,1
NSW,2,1971,1971,1,f,8,1,RR,1,O,8,.,.,.,1
NSW,2,1971,1971,1,f,9,1,RR,1,O,15,.,.,.,1
NSW,2,1971,1971,1,f,10,1,RR,1,O,9,.,.,.,1
NSW,2,1971,1971,1,f,11,1,RR,1,O,6,.,.,.,1
NSW,2,1971,1971,1,f,12,1,RR,1,O,6,.,.,.,1
NSW,2,1971,1971,1,f,13,1,RR,1,O,13,.,.,.,1
NSW,2,1971,1971,1,f,14,1,RR,1,O,15,.,.,.,1
NSW,2,1971,1971,1,f,15,1,RR,1,O,21,.,.,.,1
NSW,2,1971,1971,1,f,16,1,RR,1,O,22,.,.,.,1
NSW,2,1971,1971,1,f,17,1,RR,1,O,29,.,.,.,1
NSW,2,1971,1971,1,f,18,1,RR,1,O,31,.,.,.,1
NSW,2,1971,1971,1,f,19,1,RR,1,O,18,.,.,.,1
NSW,2,1971,1971,1,f,20,1,RR,1,O,20,.,.,.,1
NSW,2,1971,1971,1,f,21,1,RR,1,O,26,.,.,.,1
NSW,2,1971,1971,1,f,22,1,RR,1,O,17,.,.,.,1
NSW,2,1971,1971,1,f,23,1,RR,1,O,26,.,.,.,1
NSW,2,1971,1971,1,f,24,1,RR,1,O,21,.,.,.,1
NSW,2,1971,1971,1,f,25,1,RR,1,O,27,.,.,.,1
NSW,2,1971,1971,1,f,26,1,RR,1,O,19,.,.,.,1
NSW,2,1971,1971,1,f,27,1,RR,1,O,25,.,.,.,1
NSW,2,1971,1971,1,f,28,1,RR,1,O,26,.,.,.,1
NSW,2,1971,1971,1,f,29,1,RR,1,O,18,.,.,.,1
NSW,2,1971,1971,1,f,30,1,RR,1,O,20,.,.,.,1
NSW,2,1971,1971,1,f,31,1,RR,1,O,27,.,.,.,1
NSW,2,1971,1971,1,f,32,1,RR,1,O,25,.,.,.,1
NSW,2,1971,1971,1,f,33,1,RR,1,O,29,.,.,.,1
NSW,2,1971,1971,1,f,34,1,RR,1,O,37,.,.,.,1
NSW,2,1971,1971,1,f,35,1,RR,1,O,27,.,.,.,1
NSW,2,1971,1971,1,f,36,1,RR,1,O,39,.,.,.,1
NSW,2,1971,1971,1,f,37,1,RR,1,O,48,.,.,.,1
NSW,2,1971,1971,1,f,38,1,RR,1,O,38,.,.,.,1
NSW,2,1971,1971,1,f,39,1,RR,1,O,48,.,.,.,1
NSW,2,1971,1971,1,f,40,1,RR,1,O,52,.,.,.,1
NSW,2,1971,1971,1,f,41,1,RR,1,O,54,.,.,.,1
NSW,2,1971,1971,1,f,42,1,RR,1,O,65,.,.,.,1
NSW,2,1971,1971,1,f,43,1,RR,1,O,88,.,.,.,1
NSW,2,1971,1971,1,f,44,1,RR,1,O,90,.,.,.,1
NSW,2,1971,1971,1,f,45,1,RR,1,O,95,.,.,.,1
NSW,2,1971,1971,1,f,46,1,RR,1,O,106,.,.,.,1
NSW,2,1971,1971,1,f,47,1,RR,1,O,109,.,.,.,1
NSW,2,1971,1971,1,f,48,1,RR,1,O,114,.,.,.,1
NSW,2,1971,1971,1,f,49,1,RR,1,O,141,.,.,.,1
NSW,2,1971,1971,1,f,50,1,RR,1,O,149,.,.,.,1
NSW,2,1971,1971,1,f,51,1,RR,1,O,123,.,.,.,1
NSW,2,1971,1971,1,f,52,1,RR,1,O,156,.,.,.,1
NSW,2,1971,1971,1,f,53,1,RR,1,O,164,.,.,.,1
NSW,2,1971,1971,1,f,54,1,RR,1,O,146,.,.,.,1
NSW,2,1971,1971,1,f,55,1,RR,1,O,187,.,.,.,1
NSW,2,1971,1971,1,f,56,1,RR,1,O,207,.,.,.,1
NSW,2,1971,1971,1,f,57,1,RR,1,O,214,.,.,.,1
NSW,2,1971,1971,1,f,58,1,RR,1,O,232,.,.,.,1
NSW,2,1971,1971,1,f,59,1,RR,1,O,239,.,.,.,1
NSW,2,1971,1971,1,f,60,1,RR,1,O,251,.,.,.,1
NSW,2,1971,1971,1,f,61,1,RR,1,O,232,.,.,.,1
NSW,2,1971,1971,1,f,62,1,RR,1,O,283,.,.,.,1
NSW,2,1971,1971,1,f,63,1,RR,1,O,313,.,.,.,1
NSW,2,1971,1971,1,f,64,1,RR,1,O,257,.,.,.,1
NSW,2,1971,1971,1,f,65,1,RR,1,O,282,.,.,.,1
NSW,2,1971,1971,1,f,66,1,RR,1,O,296,.,.,.,1
NSW,2,1971,1971,1,f,67,1,RR,1,O,305,.,.,.,1
NSW,2,1971,1971,1,f,68,1,RR,1,O,314,.,.,.,1
NSW,2,1971,1971,1,f,69,1,RR,1,O,390,.,.,.,1
NSW,2,1971,1971,1,f,70,1,RR,1,O,471,.,.,.,1
NSW,2,1971,1971,1,f,71,1,RR,1,O,451,.,.,.,1
NSW,2,1971,1971,1,f,72,1,RR,1,O,470,.,.,.,1
NSW,2,1971,1971,1,f,73,1,RR,1,O,509,.,.,.,1
NSW,2,1971,1971,1,f,74,1,RR,1,O,481,.,.,.,1
NSW,2,1971,1971,1,f,75,1,RR,1,O,571,.,.,.,1
NSW,2,1971,1971,1,f,76,1,RR,1,O,605,.,.,.,1
NSW,2,1971,1971,1,f,77,1,RR,1,O,556,.,.,.,1
NSW,2,1971,1971,1,f,78,1,RR,1,O,666,.,.,.,1
NSW,2,1971,1971,1,f,79,1,RR,1,O,621,.,.,.,1
NSW,2,1971,1971,1,f,80,1,RR,1,O,630,.,.,.,1
NSW,2,1971,1971,1,f,81,1,RR,1,O,577,.,.,.,1
NSW,2,1971,1971,1,f,82,1,RR,1,O,661,.,.,.,1
NSW,2,1971,1971,1,f,83,1,RR,1,O,679,.,.,.,1
NSW,2,1971,1971,1,f,84,1,RR,1,O,590,.,.,.,1
NSW,2,1971,1971,1,f,85,1,RR,1,O,535,.,.,.,1
NSW,2,1971,1971,1,f,86,1,RR,1,O,515,.,.,.,1
NSW,2,1971,1971,1,f,87,1,RR,1,O,433,.,.,.,1
NSW,2,1971,1971,1,f,88,1,RR,1,O,363,.,.,.,1
NSW,2,1971,1971,1,f,89,1,RR,1,O,306,.,.,.,1
NSW,2,1971,1971,1,f,90,1,RR,1,O,259,.,.,.,1
NSW,2,1971,1971,1,f,91,1,RR,1,O,223,.,.,.,1
NSW,2,1971,1971,1,f,92,1,RR,1,O,173,.,.,.,1
NSW,2,1971,1971,1,f,93,1,RR,1,O,127,.,.,.,1
NSW,2,1971,1971,1,f,94,1,RR,1,O,96,.,.,.,1
NSW,2,1971,1971,1,f,95,1,RR,1,O,83,.,.,.,1
NSW,2,1971,1971,1,f,96,1,RR,1,O,58,.,.,.,1
NSW,2,1971,1971,1,f,97,1,RR,1,O,52,.,.,.,1
NSW,2,1971,1971,1,f,98,1,RR,1,O,28,.,.,.,1
NSW,2,1971,1971,1,f,99,1,RR,1,O,18,.,.,.,1
NSW,2,1971,1971,1,f,100,+,RR,1,O,18,.,.,.,1
NSW,2,1971,1971,1,f,UNK,.,RR,1,O,2,.,.,.,1
NSW,2,1972,1972,1,f,TOT,.,RR,1,O,18688,.,.,.,1
NSW,2,1972,1972,1,f,0,1,RR,1,O,690,.,.,.,1
NSW,2,1972,1972,1,f,1,1,RR,1,O,59,.,.,.,1
NSW,2,1972,1972,1,f,2,1,RR,1,O,25,.,.,.,1
NSW,2,1972,1972,1,f,3,1,RR,1,O,17,.,.,.,1
NSW,2,1972,1972,1,f,4,1,RR,1,O,17,.,.,.,1
