QLD, Life expectancy at birth (period, 1x5)	Last modified: 02 Jul 2018;  Methods Protocol: v6 (2017)

  Year       Female    Male     Total
1971-1974     75.08    68.04    71.35
1975-1979     77.05    69.78    73.23
1980-1984     78.83    71.70    75.12
1985-1989     79.51    73.01    76.16
1990-1994     80.71    74.62    77.61
1995-1999     81.56    75.77    78.62
2000-2004     82.68    77.45    80.04
2005-2009     83.60    78.86    81.21
2010-2014     84.26    79.90    82.07
2015-2016     84.73    80.43    82.57
